# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 22 21:37:57 GMT 2022 [seed=1671745062937]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
23000	-29848.417666158355	-746.9650904926094	-29101.452575665746	88.376792311671	1916.623207688329	1997.6963965180116	680.9786328560473	8.556540246044236	0.4064861226814551	0.17956531374948123	0.18522876965786456	0.22871979391119904	0.2613357996727982	0.0011846899574059324	0.001184689957405933	-29101.452575665746	0.0	-519.1892628126966
24000	-29837.201035545913	-742.0314410050586	-29095.169594540854	84.42329097222556	1920.5767090277745	1886.1124284270013	716.5525982214651	8.24877296458911	0.40756336320261927	0.19238203784857533	0.18518427581996086	0.2148703231288445	0.25943392337750876	0.0012069285888320679	0.0012069285888320672	-29095.169594540854	0.0	-514.3747130080399
25000	-29847.381001000333	-755.8314373388865	-29091.549563661447	98.54965112238244	1906.4503488776177	2227.186416811805	846.347003776347	8.721029316796399	0.4088794552192314	0.19238203784857533	0.1819241117184199	0.2168143952137733	0.2694375179773667	0.0010845098162926019	0.0010845098162926023	-29091.549563661447	0.0	-528.0560687122953
26000	-29846.890955390867	-756.9249634212633	-29089.965991969602	96.40969422220098	1908.5903057777991	2172.099368136104	1062.2844358560653	8.757809234287416	0.4076425069046817	0.18401133873049788	0.1831887056341651	0.22515744873065524	0.2734599614542743	0.0011014492530483566	0.0011014492530483564	-29089.965991969602	0.0	-529.1368723494116
27000	-29856.592424563994	-755.8698212286247	-29100.72260333537	94.95041063641482	1910.0495893635853	2234.6852357091293	871.4970890036221	8.757809234287416	0.4069390224549182	0.1875252002191828	0.18243027774124546	0.22310549958465342	0.2596634511431044	0.0010338796488050814	0.0010338796488050805	-29100.72260333537	0.0	-528.2372421539455
28000	-29847.821084564	-756.2862082965689	-29091.53487626743	98.11728067640567	1906.8827193235943	2259.0152497051213	878.2306036864858	8.433953634602116	0.400417913385787	0.18538141139499933	0.1908767952100062	0.22332388000920733	0.2851207743247239	0.0010514954852784036	0.001051495485278402	-29091.53487626743	0.0	-528.6001719721822
29000	-29841.899499372525	-756.5070277670359	-29085.39247160549	100.3598025159466	1904.6401974840535	2284.11344185593	809.5288351063685	8.433953634602116	0.3917582156840702	0.19738203169530952	0.19022821852134844	0.22063153409927166	0.2851207743247239	0.0010228095869444847	0.0010228095869444852	-29085.39247160549	0.0	-528.8794771806105
30000	-29844.101032250845	-755.3580158342102	-29088.743016416636	99.14586717912697	1905.854132820873	2234.7035707544246	850.0329070535914	8.638777534645998	0.3956333103886584	0.20048712917580805	0.18885775807553043	0.21502180236000298	0.2502678974998462	0.0010383841571836167	0.001038384157183616	-29088.743016416636	0.0	-527.7558444609649
31000	-29843.219171657165	-748.4810750186899	-29094.738096638474	90.53024589984886	1914.469754100151	2016.5074918761518	868.2506619348521	8.640963485120595	0.40710564432963453	0.18818492500242914	0.18724850257624612	0.21746092809169004	0.25103731836851784	0.001127160112302334	0.0011271601123023333	-29094.738096638474	0.0	-520.8320900102292
32000	-29862.75849921498	-756.8964019324126	-29105.862097282567	101.31611909674608	1903.683880903254	2279.43269601061	851.0087527469558	8.640963485120595	0.4025948362375565	0.1902037877496776	0.18900527492117736	0.21819610109158838	0.27820849159006056	0.0010409042031195423	0.0010409042031195423	-29105.862097282567	0.0	-529.1944158529063
33000	-29847.9840051023	-761.1091863785214	-29086.874818723776	102.98998264187152	1902.0100173581284	2371.59329249277	983.4512438768717	8.501315603592491	0.382676286383254	0.19174150356610753	0.19316003133576637	0.23242217871487192	0.2665079718036015	9.605221535531029E-4	9.605221535531034E-4	-29086.874818723776	0.0	-533.6135741253573
